City,Climate change,Global Warming,,iso3
Abu Dhabi,63%,37%,,ARE
Adelaide,76%,24%,,AUS
Ahmedabad,57%,43%,,IND
Amsterdam,70%,30%,,NLD
Atlanta,62%,38%,,GEO
Auckland,68%,32%,,NZL
Austin,67%,33%,,USA
Bangkok,62%,38%,,THA
Bengaluru,58%,42%,,IND
Birmingham,65%,35%,,GB-BIR
Boston,68%,32%,,USA
Brisbane,75%,25%,,AUS
Calgary,71%,29%,,CAN
Cape Town,66%,34%,,ZAF
Cebu City,67%,33%,,PHL
Chennai,56%,44%,,IND
Chicago,65%,35%,,USA
Columbus,64%,36%,,USA
Dallas,62%,38%,,USA
Denver,66%,34%,,USA
Dhaka,70%,30%,,BGD
Dubai,64%,36%,,ARE
Dublin,72%,28%,,IRL
Edmonton,71%,29%,,CAN
Houston,64%,36%,,USA
Howrah,56%,44%,,IND
Hyderabad,55%,45%,,IND
Indore,57%,43%,,IND
Jakarta,53%,47%,,IDN
Johannesburg,62%,38%,,ZAF
Karachi,59%,41%,,PAK
Kolkata,57%,43%,,IND
Kuala Lumpur,61%,39%,,MYS
Lagos,68%,32%,,NGA
Lahore,62%,38%,,PAK
London,73%,27%,,GBR
Los Angeles,64%,36%,,USA
Lucknow,56%,44%,,IND
Madrid,72%,28%,,ESP
Makati,65%,35%,,PHL
Manchester,68%,32%,,GBR
Manila,64%,36%,,PHL
Melbourne,76%,24%,,AUS
Miami,60%,40%,,USA
Minneapolis,65%,35%,,MNG
Mississauga,68%,32%,,CAN
Montreal,72%,28%,,CAN
Mumbai,58%,42%,,IND
Nairobi,72%,28%,,KEN
New Delhi,58%,42%,,IND
New York,68%,32%,,USA
Ottawa,75%,25%,,CAN
Paris,79%,21%,,FRA
Perth,76%,24%,,AUS
Philadelphia,64%,36%,,USA
Phoenix,63%,37%,,US-AZ
Portland,71%,29%,,US-OR
Pretoria,66%,34%,,ZAF
Pune,56%,44%,,IND
Quezon City,70%,30%,,PHP
San Antonio,62%,38%,,USA
San Diego,66%,34%,,US-CA
San Francisco,65%,35%,,US-CA
San Jose,69%,31%,,US-CA
Seattle,68%,32%,,US-WA
Singapore,67%,33%,,SGP
St. Louis,62%,38%,,MUS
Sydney,77%,23%,,AUS
Toronto,69%,31%,,CAN
Vancouver,71%,29%,,CAN
Washington,74%,26%,,USA
Winnipeg,68%,32%,,CAN
